# d n0 p xi order Theta
#   d   n 0
3 1 19 1 1 6
3 1 19 4 9 17
3 1 19 16 9 2
3 1 19 7 3 8
3 1 19 9 9 3
3 1 19 17 9 6
3 1 19 11 3 6
3 1 19 5 9 5
3 1 37 1 1 29
3 1 37 16 9 3
3 1 37 34 9 6
3 1 37 26 3 24
3 1 37 9 9 14
3 1 37 33 9 19
3 1 37 10 3 1
3 1 37 12 9 32
3 1 37 7 9 30
5 1 31 1 1 5
5 1 31 9 15 30
5 1 31 19 15 23
5 1 31 16 5 22
5 1 31 20 15 15
5 1 31 25 3 15
5 1 31 8 5 29
5 1 31 10 15 0
5 1 31 28 15 15
5 1 31 4 5 20
5 1 31 5 3 27
5 1 31 2 5 16
5 1 31 18 15 25
5 1 31 7 15 12
5 1 61 1 1 11
5 1 61 16 15 56
5 1 61 12 15 11
5 1 61 9 5 30
5 1 61 22 15 36
5 1 61 47 3 9
5 1 61 20 5 1
5 1 61 15 15 33
5 1 61 57 15 36
5 1 61 58 5 1
5 1 61 13 3 46
5 1 61 25 15 9
5 1 61 34 5 15
5 1 61 56 15 0
5 1 61 42 15 50
7 1 43 1 1 28
7 1 43 9 21 16
7 1 43 38 21 12
7 1 43 41 7 4
7 1 43 25 21 23
7 1 43 10 21 19
7 1 43 4 7 42
7 1 43 36 3 8
7 1 43 35 7 32
7 1 43 14 21 37
7 1 43 40 21 38
7 1 43 16 7 14
7 1 43 15 21 11
7 1 43 6 3 3
7 1 43 11 7 26
7 1 43 13 21 2
7 1 43 31 21 42
7 1 43 21 7 21
7 1 43 17 21 4
7 1 43 24 21 40
7 1 127 1 1 48
7 1 127 94 21 119
7 1 127 73 21 31
7 1 127 4 7 1
7 1 127 122 21 30
7 1 127 38 21 120
7 1 127 16 7 84
7 1 127 107 3 60
7 1 127 25 21 68
7 1 127 64 7 59
7 1 127 47 21 37
7 1 127 100 21 125
7 1 127 2 7 23
7 1 127 61 21 0
7 1 127 19 3 113
7 1 127 8 7 119
7 1 127 117 21 105
7 1 127 76 21 92
7 1 127 32 7 103
7 1 127 87 21 118
7 1 127 50 21 38
9 1 109 1 1 83
9 1 109 97 27 82
9 1 109 35 27 56
9 1 109 16 9 98
9 1 109 26 27 73
9 1 109 15 27 29
9 1 109 38 9 2
9 1 109 89 27 108
9 1 109 22 27 24
9 1 109 63 3 28
9 1 109 7 27 12
9 1 109 25 27 67
9 1 109 27 9 43
9 1 109 3 27 106
9 1 109 73 27 82
9 1 109 105 9 87
9 1 109 48 27 108
9 1 109 78 27 101
9 1 109 45 3 90
9 1 109 5 27 47
9 1 109 49 27 4
9 1 109 66 9 22
9 1 109 80 27 2
9 1 109 21 27 99
9 1 109 75 9 70
9 1 109 81 27 41
9 1 109 9 27 38
9 1 163 1 1 133
9 1 163 64 27 145
9 1 163 21 27 114
9 1 163 40 9 28
9 1 163 115 27 113
9 1 163 25 27 105
9 1 163 133 9 9
9 1 163 36 27 138
9 1 163 22 27 43
9 1 163 104 3 76
9 1 163 136 27 88
9 1 163 65 27 153
9 1 163 85 9 23
9 1 163 61 27 13
9 1 163 155 27 27
9 1 163 140 9 150
9 1 163 158 27 99
9 1 163 6 27 20
9 1 163 58 3 154
9 1 163 126 27 17
9 1 163 77 27 108
9 1 163 38 9 4
9 1 163 150 27 0
9 1 163 146 27 48
9 1 163 53 9 94
9 1 163 132 27 42
9 1 163 135 27 94
11 1 67 1 1 32
11 1 67 4 33 35
11 1 67 16 33 0
11 1 67 64 11 65
11 1 67 55 33 28
11 1 67 19 33 26
11 1 67 9 11 33
11 1 67 36 33 8
11 1 67 10 33 30
11 1 67 40 11 17
11 1 67 26 33 5
11 1 67 37 3 43
11 1 67 14 11 40
11 1 67 56 33 4
11 1 67 23 33 17
11 1 67 25 11 30
11 1 67 33 33 32
11 1 67 65 33 45
11 1 67 59 11 46
11 1 67 35 33 36
11 1 67 6 33 40
11 1 67 24 11 6
11 1 67 29 3 47
11 1 67 49 33 0
11 1 67 62 11 31
11 1 67 47 33 53
11 1 67 54 33 6
11 1 67 15 11 30
11 1 67 60 33 37
11 1 67 39 33 58
11 1 67 22 11 58
11 1 67 21 33 30
11 1 67 17 33 21
11 1 199 1 1 47
11 1 199 132 33 31
