# d n0 p xi Delta pivot-ok
3 1 19 1 14 1
3 1 19 4 7 1
3 1 19 16 7 1
3 1 19 7 14 1
3 1 19 9 6 1
3 1 19 17 12 1
3 1 19 11 18 1
3 1 19 6 2 1
3 1 19 5 6 1
3 1 37 1 32 1
3 1 37 16 33 1
3 1 37 34 31 1
3 1 37 26 23 1
3 1 37 9 36 1
3 1 37 33 8 1
3 1 37 10 24 1
3 1 37 12 15 1
3 1 37 7 12 1
5 1 31 1 30 1
5 1 31 9 23 1
5 1 31 19 5 1
5 1 31 16 6 1
5 1 31 20 28 1
5 1 31 25 1 1
5 1 31 8 - 0
5 1 31 10 0 1
5 1 31 28 12 1
5 1 31 4 18 1
5 1 31 5 6 1
5 1 31 14 25 1
5 1 31 2 19 1
5 1 31 18 3 1
5 1 31 7 14 1
5 1 61 1 5 1
5 1 61 16 5 1
5 1 61 12 2 1
5 1 61 9 10 1
5 1 61 22 28 1
5 1 61 47 17 1
5 1 61 20 16 1
5 1 61 15 41 1
5 1 61 57 23 1
5 1 61 58 - 0
5 1 61 13 25 1
5 1 61 25 43 1
5 1 61 34 53 1
5 1 61 56 0 1
5 1 61 42 3 1
7 1 43 1 8 1
7 1 43 9 24 1
7 1 43 38 25 1
7 1 43 41 23 1
7 1 43 25 32 1
7 1 43 10 18 1
7 1 43 4 37 1
7 1 43 36 42 1
7 1 43 23 23 1
7 1 43 35 38 1
7 1 43 14 24 1
7 1 43 40 42 1
7 1 43 16 21 1
7 1 43 15 13 1
7 1 43 6 12 1
7 1 43 11 27 1
7 1 43 13 14 1
7 1 43 31 15 1
7 1 43 21 18 1
7 1 43 17 5 1
7 1 43 24 11 1
7 1 127 1 40 1
7 1 127 94 87 1
7 1 127 73 119 1
7 1 127 4 1 1
7 1 127 122 20 1
7 1 127 38 59 1
7 1 127 16 118 1
7 1 127 107 22 1
7 1 127 25 27 1
7 1 127 64 119 1
7 1 127 47 102 1
7 1 127 100 78 1
7 1 127 2 48 1
7 1 127 61 0 1
7 1 127 19 30 1
7 1 127 8 98 1
7 1 127 117 29 1
7 1 127 76 31 1
7 1 127 32 72 1
7 1 127 87 74 1
7 1 127 50 43 1
9 1 109 1 84 1
9 1 109 97 107 1
9 1 109 35 8 1
9 1 109 16 51 1
9 1 109 26 64 1
9 1 109 15 5 1
9 1 109 38 13 1
9 1 109 89 52 1
9 1 109 22 69 1
9 1 109 63 102 1
9 1 109 7 5 1
9 1 109 25 57 1
9 1 109 27 67 1
9 1 109 3 58 1
9 1 109 73 88 1
9 1 109 105 25 1
9 1 109 48 62 1
9 1 109 78 56 1
9 1 109 45 20 1
9 1 109 5 89 1
9 1 109 49 51 1
9 1 109 66 103 1
9 1 109 80 31 1
9 1 109 21 85 1
9 1 109 75 70 1
9 1 109 81 101 1
9 1 109 9 11 1
9 1 163 1 111 1
9 1 163 64 55 1
9 1 163 21 99 1
9 1 163 40 15 1
9 1 163 115 34 1
9 1 163 25 116 1
9 1 163 133 134 1
9 1 163 36 76 1
9 1 163 22 106 1
9 1 163 104 113 1
9 1 163 136 23 1
9 1 163 65 15 1
9 1 163 85 161 1
9 1 163 61 130 1
9 1 163 155 22 1
9 1 163 140 126 1
9 1 163 158 62 1
9 1 163 6 125 1
9 1 163 58 104 1
9 1 163 126 84 1
9 1 163 77 80 1
9 1 163 38 29 1
9 1 163 150 0 1
9 1 163 146 60 1
9 1 163 53 10 1
9 1 163 132 86 1
9 1 163 135 145 1
11 1 67 1 51 1
11 1 67 4 44 1
11 1 67 16 0 1
11 1 67 64 14 1
11 1 67 55 11 1
11 1 67 19 29 1
11 1 67 9 7 1
11 1 67 36 12 1
11 1 67 10 15 1
11 1 67 40 23 1
11 1 67 26 6 1
11 1 67 37 11 1
11 1 67 14 47 1
11 1 67 56 26 1
11 1 67 23 61 1
11 1 67 25 58 1
11 1 67 33 26 1
11 1 67 65 34 1
11 1 67 59 39 1
11 1 67 35 57 1
11 1 67 6 47 1
11 1 67 24 45 1
11 1 67 29 42 1
11 1 67 49 0 1
11 1 67 62 64 1
11 1 67 47 26 1
11 1 67 54 59 1
11 1 67 15 27 1
11 1 67 60 19 1
11 1 67 39 19 1
11 1 67 22 51 1
11 1 67 21 13 1
11 1 67 17 35 1
11 1 199 1 84 1
11 1 199 132 119 1
11 1 199 111 47 1
11 1 199 125 88 1
11 1 199 182 44 1
11 1 199 144 93 1
11 1 199 103 31 1
11 1 199 64 65 1
11 1 199 90 174 1
11 1 199 139 0 1
11 1 199 40 133 1
11 1 199 106 18 1
11 1 199 62 153 1
11 1 199 25 23 1
11 1 199 116 136 1
11 1 199 188 131 1
11 1 199 140 144 1
11 1 199 172 162 1
11 1 199 18 147 1
11 1 199 187 51 1
11 1 199 8 151 1
11 1 199 61 61 1
11 1 199 92 18 1
11 1 199 5 52 1
11 1 199 63 121 1
11 1 199 157 76 1
11 1 199 28 23 1
11 1 199 114 133 1
11 1 199 123 182 1
11 1 199 117 128 1
11 1 199 121 41 1
11 1 199 52 91 1
11 1 199 98 169 1
13 1 79 1 17 1
13 1 79 9 9 1
13 1 79 2 21 1
13 1 79 18 77 1
13 1 79 4 5 1
13 1 79 36 21 1
13 1 79 8 23 1
13 1 79 72 71 1
13 1 79 16 33 1
13 1 79 65 25 1
13 1 79 32 45 1
13 1 79 51 46 1
13 1 79 64 77 1
13 1 79 23 69 1
13 1 79 49 37 1
13 1 79 46 33 1
13 1 79 19 56 1
13 1 79 13 32 1
13 1 79 38 65 1
13 1 79 26 44 1
13 1 79 76 37 1
13 1 79 52 64 1
13 1 79 73 78 1
13 1 79 25 64 1
13 1 79 67 61 1
13 1 79 50 73 1
13 1 79 55 45 1
13 1 79 21 17 1
13 1 79 31 26 1
13 1 79 42 34 1
13 1 79 62 73 1
13 1 79 5 6 1
13 1 79 45 2 1
13 1 79 10 73 1
13 1 79 11 10 1
13 1 79 20 4 1
13 1 79 22 72 1
13 1 79 40 40 1
13 1 79 44 44 1
13 1 157 1 37 1
13 1 157 154 70 1
13 1 157 9 41 1
13 1 157 130 135 1
13 1 157 81 67 1
13 1 157 71 16 1
13 1 157 101 22 1
13 1 157 11 142 1
13 1 157 124 23 1
13 1 157 99 21 1
13 1 157 17 9 1
13 1 157 106 120 1
13 1 157 153 108 1
13 1 157 12 108 1
13 1 157 121 87 1
13 1 157 108 76 1
13 1 157 147 131 1
13 1 157 30 117 1
13 1 157 67 1 1
13 1 157 113 149 1
13 1 157 132 45 1
13 1 157 75 15 1
13 1 157 89 79 1
13 1 157 47 106 1
13 1 157 16 124 1
13 1 157 109 96 1
13 1 157 144 155 1
13 1 157 39 108 1
13 1 157 40 119 1
13 1 157 37 40 1
13 1 157 46 93 1
13 1 157 19 4 1
13 1 157 100 94 1
13 1 157 14 86 1
13 1 157 115 144 1
13 1 157 126 80 1
13 1 157 93 135 1
13 1 157 35 5 1
13 1 157 52 129 1
15 1 181 1 147 1
15 1 181 16 125 1
15 1 181 75 109 1
15 1 181 114 15 1
15 1 181 14 179 1
15 1 181 43 30 1
15 1 181 145 63 1
15 1 181 148 41 1
15 1 181 15 139 1
15 1 181 59 48 1
15 1 181 39 55 1
15 1 181 81 111 1
15 1 181 29 95 1
15 1 181 102 114 1
15 1 181 3 164 1
15 1 181 48 22 1
15 1 181 44 131 1
15 1 181 161 125 1
15 1 181 42 77 1
15 1 181 129 70 1
15 1 181 73 171 1
15 1 181 82 45 1
15 1 181 45 151 1
15 1 181 177 13 1
15 1 181 117 3 1
15 1 181 62 118 1
15 1 181 87 25 1
15 1 181 125 32 1
15 1 181 9 119 1
15 1 181 144 93 1
15 1 181 132 8 1
15 1 181 121 167 1
15 1 181 126 163 1
15 1 181 25 112 1
15 1 181 38 11 1
15 1 181 65 49 1
15 1 181 135 146 1
15 1 181 169 45 1
15 1 181 170 40 1
15 1 181 5 165 1
15 1 181 80 68 1
15 1 181 13 130 1
15 1 181 27 101 1
15 1 181 70 3 1
15 1 181 34 91 1
15 1 271 1 192 1
15 1 271 44 34 1
15 1 271 39 131 1
15 1 271 90 41 1
15 1 271 166 216 1
15 1 271 258 81 1
15 1 271 241 58 1
15 1 271 35 232 1
15 1 271 185 190 1
15 1 271 10 39 1
15 1 271 169 101 1
15 1 271 119 208 1
15 1 271 87 136 1
15 1 271 34 267 1
15 1 271 141 171 1
15 1 271 242 29 1
15 1 271 79 258 1
15 1 271 224 58 1
15 1 271 100 252 1
15 1 271 64 - 0
15 1 271 106 232 1
15 1 271 57 73 1
15 1 271 69 115 1
15 1 271 55 54 1
15 1 271 252 186 1
15 1 271 248 78 1
15 1 271 72 186 1
15 1 271 187 118 1
15 1 271 98 126 1
15 1 271 247 99 1
15 1 271 28 247 1
15 1 271 148 238 1
15 1 271 8 265 1
15 1 271 81 110 1
15 1 271 41 55 1
15 1 271 178 101 1
15 1 271 244 168 1
15 1 271 167 255 1
15 1 271 31 172 1
15 1 271 9 176 1
15 1 271 125 139 1
