# d n0 p xi pair A_Q B_Q detM=2B_Q
3 1 37 1 (4, 8) 14 29 21
3 1 37 16 (4, 8) 15 3 6
3 1 37 34 (4, 8) 20 6 12
3 1 37 26 (4, 8) 21 24 11
3 1 37 9 (4, 8) 31 14 28
3 1 37 33 (4, 8) 27 19 1
3 1 37 10 (4, 8) 8 1 2
3 1 37 12 (4, 8) 27 32 27
3 1 37 7 (4, 8) 7 30 23
5 1 61 1 (6, 7) 5 6 12
5 1 61 16 (6, 7) 47 13 26
5 1 61 12 (6, 7) 53 52 43
5 1 61 9 (6, 7) 17 6 12
5 1 61 22 (6, 7) 9 57 53
5 1 61 47 (6, 7) 52 3 6
5 1 61 20 (6, 7) 55 39 17
5 1 61 15 (6, 7) 9 59 57
5 1 61 57 (6, 7) 11 30 60
5 1 61 58 (6, 7) 52 51 41
5 1 61 13 (6, 7) 18 23 46
5 1 61 25 (6, 7) 6 4 8
5 1 61 34 (6, 7) 53 50 39
5 1 61 56 (6, 7) 52 0 0
5 1 61 42 (6, 7) 42 18 36
7 1 127 1 (8, 9) 21 67 7
7 1 127 94 (8, 9) 46 56 112
7 1 127 73 (8, 9) 40 10 20
7 1 127 4 (8, 9) 68 83 39
7 1 127 122 (8, 9) 51 55 110
7 1 127 38 (8, 9) 125 74 21
7 1 127 16 (8, 9) 95 113 99
7 1 127 107 (8, 9) 117 110 93
7 1 127 25 (8, 9) 90 113 99
7 1 127 64 (8, 9) 43 73 19
7 1 127 47 (8, 9) 47 86 45
7 1 127 100 (8, 9) 87 69 11
7 1 127 2 (8, 9) 95 59 118
7 1 127 61 (8, 9) 78 0 0
7 1 127 19 (8, 9) 54 20 40
7 1 127 8 (8, 9) 45 98 69
7 1 127 117 (8, 9) 93 19 38
7 1 127 76 (8, 9) 95 17 34
7 1 127 32 (8, 9) 44 117 107
7 1 127 87 (8, 9) 25 74 21
7 1 127 50 (8, 9) 23 111 95
9 1 163 1 (10, 11) 14 4 8
9 1 163 64 (10, 11) 139 99 35
9 1 163 21 (10, 11) 113 102 41
9 1 163 40 (10, 11) 126 50 100
9 1 163 115 (10, 11) 17 3 6
9 1 163 25 (10, 11) 59 122 81
9 1 163 133 (10, 11) 123 25 50
9 1 163 36 (10, 11) 108 35 70
9 1 163 22 (10, 11) 131 11 22
9 1 163 104 (10, 11) 61 33 66
9 1 163 136 (10, 11) 44 76 152
9 1 163 65 (10, 11) 122 5 10
9 1 163 85 (10, 11) 98 45 90
9 1 163 61 (10, 11) 154 96 29
9 1 163 155 (10, 26) 123 27 54
9 1 163 140 (10, 11) 155 40 80
9 1 163 158 (10, 11) 37 30 60
9 1 163 6 (10, 11) 141 6 12
9 1 163 58 (10, 11) 137 134 105
9 1 163 126 (10, 11) 147 133 103
9 1 163 77 (10, 11) 7 147 131
9 1 163 38 (10, 11) 50 91 19
9 1 163 150 (10, 11) 24 0 0
9 1 163 146 (10, 11) 161 20 40
9 1 163 53 (10, 11) 136 159 155
9 1 163 132 (10, 11) 2 37 74
9 1 163 135 (10, 11) 149 127 91
11 1 199 1 (12, 13) 13 14 28
11 1 199 132 (12, 13) 38 12 24
11 1 199 111 (12, 13) 36 186 173
11 1 199 125 (12, 13) 163 100 1
11 1 199 182 (12, 13) 186 52 104
11 1 199 144 (12, 13) 30 143 87
11 1 199 103 (12, 13) 197 48 96
11 1 199 64 (12, 13) 106 139 79
11 1 199 90 (12, 13) 87 66 132
11 1 199 139 (12, 13) 5 0 0
11 1 199 40 (12, 13) 39 59 118
11 1 199 106 (12, 13) 14 169 139
11 1 199 62 (12, 13) 42 24 48
11 1 199 25 (12, 13) 131 160 121
11 1 199 116 (12, 13) 88 96 192
11 1 199 188 (12, 13) 96 8 16
11 1 199 140 (12, 13) 20 57 114
11 1 199 172 (12, 13) 12 155 111
11 1 199 18 (12, 13) 61 180 161
11 1 199 187 (12, 13) 185 78 156
11 1 199 8 (12, 13) 124 64 128
11 1 199 61 (12, 13) 37 9 18
11 1 199 92 (12, 13) 193 20 40
11 1 199 5 (12, 13) 123 131 63
11 1 199 63 (12, 13) 147 183 167
11 1 199 157 (12, 13) 144 155 111
11 1 199 28 (12, 13) 122 191 183
11 1 199 114 (12, 13) 45 180 161
11 1 199 123 (12, 13) 134 73 146
11 1 199 117 (12, 13) 23 107 15
11 1 199 121 (12, 13) 178 14 28
11 1 199 52 (12, 13) 106 140 81
11 1 199 98 (12, 13) 184 136 73
13 1 157 1 (14, 15) 54 78 156
13 1 157 154 (14, 15) 98 138 119
13 1 157 9 (14, 15) 82 146 135
13 1 157 130 (14, 15) 117 8 16
