# d n0 s cert-p cert-xi rankA target
3 1 1 19 1 3 3
3 1 3 19 7 3 3
3 1 9 19 4 3 3
5 1 1 31 1 6 6
5 1 3 31 25 6 6
5 1 5 31 16 6 6
5 1 15 31 9 6 6
7 1 1 43 1 9 9
7 1 3 43 36 9 9
7 1 7 43 41 9 9
7 1 21 43 9 9 9
9 1 1 109 1 12 12
9 1 3 109 63 12 12
9 1 9 109 16 12 12
9 1 27 109 97 12 12
11 1 1 67 1 15 15
11 1 3 67 37 15 15
11 1 11 67 64 15 15
11 1 33 67 4 15 15
13 1 1 79 1 18 18
13 1 3 79 23 18 18
13 1 13 79 18 18 18
13 1 39 79 9 18 18
15 1 1 181 1 21 21
15 1 3 181 48 21 21
15 1 5 181 59 21 21
15 1 9 181 43 21 21
15 1 15 181 114 21 21
15 1 45 181 16 21 21
3 2 1 19 1 3 3
3 2 3 19 7 3 3
3 2 9 19 4 3 3
5 2 1 31 1 6 6
5 2 3 31 25 6 6
5 2 5 31 16 6 6
5 2 15 31 9 6 6
7 2 1 43 1 9 9
7 2 3 43 36 9 9
7 2 7 43 41 9 9
7 2 21 43 9 9 9
9 2 1 109 1 12 12
9 2 3 109 63 12 12
9 2 9 109 16 12 12
9 2 27 109 97 12 12
11 2 1 67 1 15 15
11 2 3 67 37 15 15
11 2 11 67 64 15 15
11 2 33 67 16 15 15
13 2 1 79 1 18 18
13 2 3 79 23 18 18
13 2 13 79 18 18 18
13 2 39 79 9 18 18
15 2 1 181 1 21 21
15 2 3 181 48 21 21
15 2 5 181 59 21 21
15 2 9 181 43 21 21
15 2 15 181 114 21 21
15 2 45 181 16 21 21
